country,year,inflation,iso3c,rank
European Union,1960,1.74118045584826,EUU,39
Peru,1960,8.66445916271909,PER,5
South Africa,1960,1.28885903549378,ZAF,48
"Iran, Islamic Rep.",1960,9.82241081297881,IRN,4
Iraq,1960,3.47823790409598,IRQ,21
Luxembourg,1960,0.449620296389849,LUX,57
OECD members,1960,1.94574935198639,OED,35
Turkiye,1960,5.66473988439306,TUR,12
Latin America & the Caribbean (IDA & IBRD countries),1960,2.08000000007819,TLA,32
Myanmar,1960,7.38993710703483,MMR,9
Euro area,1960,1.74118045584826,EMU,38
New Zealand,1960,0.697929233796472,NZL,55
Thailand,1960,-0.765864332603765,THA,65
Belgium,1960,0.299467254769634,BEL,60
Switzerland,1960,1.43879470321088,CHE,45
Post-demographic dividend,1960,1.53661155971013,PST,41
Germany,1960,1.53661155971013,DEU,42
Suriname,1960,2.85714285714286,SUR,27
Indonesia,1960,39.5904436860068,IDN,1
Finland,1960,3.41812725350791,FIN,23
France,1960,4.1399357551843,FRA,18
Malta,1960,3.3846153846155,MLT,24
Trinidad and Tobago,1960,2.08000000007819,TTO,33
Honduras,1960,-1.74623815710753,HND,68
Sweden,1960,4.14177915090216,SWE,17
Canada,1960,1.35869565217391,CAN,47
Cyprus,1960,0.827300930713943,CYP,53
Netherlands,1960,2.32394366197218,NLD,29
Pakistan,1960,6.94736842105285,PAK,10
United States,1960,1.45797598627786,USA,44
Latin America & Caribbean (excluding high income),1960,2.26687099162787,LAC,30
Iceland,1960,1.9883972390203,ISL,34
United Kingdom,1960,1.00357570390171,GBR,52
India,1960,1.77987784677379,IND,37
Malaysia,1960,0.0631825978882036,MYS,62
Haiti,1960,-5.0300415959369,HTI,70
El Salvador,1960,-0.0389741990030509,SLV,64
Austria,1960,1.94574935198639,AUT,36
Syrian Arab Republic,1960,5.11890951276098,SYR,14
Ireland,1960,0.450837269431766,IRL,56
Greece,1960,1.47784758493385,GRC,43
Portugal,1960,3.04659277832702,PRT,26
Nigeria,1960,5.44432736187239,NGA,13
Norway,1960,0.360492346844601,NOR,58
"Korea, Rep.",1960,7.96556575482593,KOR,7
North America,1960,1.40833581922589,NAC,46
Jamaica,1960,3.27424913835593,JAM,25
